date,adjclose,close,high,low,open,volume
2014-06-09,1514.5,1514.5,1514.5,1514.5,1514.5,0.0
2014-06-10,1527.5,1527.5,1527.5,1527.5,1527.5,0.0
2014-06-11,1522.0,1522.0,1525.1700439453125,1525.1700439453125,1525.1700439453125,11445.0
2014-06-12,1516.0,1516.0,1516.0,1516.0,1516.0,0.0
2014-06-13,1500.5,1500.5,1496.0,1496.0,1496.0,60540.0
2014-06-16,1491.5,1491.5,1498.0,1498.0,1498.0,4474.0
2014-06-17,1491.5,1491.5,1491.5,1491.5,1491.5,0.0
2014-06-18,1491.5,1491.5,1497.0,1496.0,1496.0,2424.0
2014-06-19,1498.5,1498.5,1498.5,1498.5,1498.5,0.0
2014-06-20,1491.0,1491.0,1496.0,1494.0,1496.0,318.0
2014-06-23,1489.5,1489.5,1494.5,1487.3499755859375,1490.0,169584.0
2014-06-24,1507.5,1507.5,1511.0,1495.0,1495.0,22912.0
2014-06-25,1493.5,1493.5,1499.0,1489.800048828125,1495.0,6169.0
2014-06-26,1495.5,1495.5,1495.5,1495.5,1495.5,0.0
2014-06-27,1495.5,1495.5,1501.0,1500.0,1500.0,1030.0
2014-06-30,1490.5,1490.5,1500.0,1493.0,1494.0,2784.0
2014-07-01,1497.25,1497.25,1492.550048828125,1492.550048828125,1492.550048828125,1178.0
2014-07-02,1497.75,1497.75,1496.0,1496.0,1496.0,22.0
2014-07-03,1507.0,1507.0,1504.5,1504.0,1504.0,2000.0
2014-07-04,1507.5,1507.5,1516.0,1510.0,1511.0,8596.0
2014-07-07,1510.25,1510.25,1516.0,1507.5,1513.0,192200.0
2014-07-08,1510.75,1510.75,1520.0,1514.0,1518.0,2540.0
2014-07-09,1513.0,1513.0,1517.5,1509.0,1510.5,782.0
2014-07-10,1503.5,1503.5,1512.0,1499.0,1510.0,11629.0
2014-07-11,1507.5,1507.5,1513.0,1502.0,1510.0,1530.0
2014-07-14,1519.75,1519.75,1522.5,1507.0,1522.5,1560.0
2014-07-15,1511.5,1511.5,1525.0,1509.5,1514.0,598.0
2014-07-16,1516.25,1516.25,1526.0,1518.0,1522.0,7107.0
2014-07-17,1506.75,1506.75,1519.0,1506.5,1516.5,19120.0
2014-07-18,1521.5,1521.5,1527.0,1510.0,1525.5,1394.0
