Date,MSCI AC World,MSCI World,MSCI EM,MSCI EM Asia,MSCI EM EMEA,MSCI EM EE,MSCI LATAM,MSCI US,MSCI Europe,MSCI EMU
2004-01-01,348.44,2919.442,657.752,276.859,185.443,123.78,1834.549,3337.41,4042.325,164.174
2004-01-02,349.305,2924.623,669.176,281.807,188.785,124.397,1862.127,3328.3,4077.092,166.114
2004-01-05,354.164,2963.601,686.583,285.845,195.391,129.617,1948.688,3369.258,4125.04,168.002
2004-01-06,354.908,2970.553,684.602,284.869,193.907,130.832,1958.754,3373.055,4148.125,168.873
2004-01-07,354.204,2964.72,682.965,285.019,192.885,130.63,1946.043,3381.027,4110.808,167.126
2004-01-08,356.643,2985.491,685.958,287.645,191.319,129.46,1961.978,3398.308,4161.855,169.692
2004-01-09,356.015,2978.022,695.186,293.841,191.902,130.926,1971.87,3368.573,4179.771,170.283
2004-01-12,356.395,2981.586,694.129,293.708,189.972,130.38,1985.712,3385.09,4160.229,169.357
2004-01-13,355.332,2972.06,695.022,292.72,192.421,129.906,1983.546,3366.125,4162.889,169.425
2004-01-14,356.848,2986.479,689.773,292.512,189.282,129.442,1954.032,3393.964,4167.344,169.809
2004-01-15,355.705,2978.14,681.782,290.11,185.599,127.689,1933.399,3398.193,4141.919,169.32
2004-01-16,356.66,2986.355,682.59,289.793,186.708,127.948,1935.848,3422.523,4116.373,168.09
2004-01-19,357.162,2989.59,688.114,293.254,187.318,128.635,1942.876,3422.523,4120.006,168.711
2004-01-20,358.688,3001.515,695.075,294.713,190.517,130.358,1972.957,3419.461,4162.912,170.15
2004-01-21,361.065,3022.879,692.725,294.699,189.472,130.662,1953.261,3446.439,4201.484,171.673
2004-01-22,361.461,3026.299,692.989,293.816,191.276,132.442,1948.755,3435.323,4229.973,173.515
2004-01-23,360.919,3020.823,696.354,295.343,192.369,134.1,1954.034,3427.962,4214.593,173.259
2004-01-26,361.681,3026.916,699.184,295.449,193.025,132.761,1984.458,3469.75,4162.478,170.774
2004-01-27,360.386,3015.017,701.685,297.797,192.448,132.393,1985.032,3434.644,4183.801,172.141
2004-01-28,357.675,2992.035,697.824,296.464,192.645,131.321,1950.541,3388.73,4198.176,172.287
2004-01-29,354.977,2971.387,683.517,292.658,189.855,131.127,1851.083,3405.892,4094.835,167.475
2004-01-30,354.398,2966.932,680.556,291.021,189.099,129.769,1849.092,3397.874,4089.993,167.045
2004-02-02,355.469,2976.468,679.948,289.372,189.792,129.738,1861.583,3409.148,4103.387,168.05
2004-02-03,356.174,2982.494,680.727,286.979,192.087,130.502,1885.905,3410.485,4132.295,168.796
2004-02-04,353.132,2956.28,678.375,285.9,191.795,131.425,1875.774,3382.246,4108.591,167.206
2004-02-05,354.023,2964.739,675.397,287.012,190.471,131.095,1829.534,3386.855,4129.403,168.215
2004-02-06,358.387,3001.031,684.902,291.4,191.232,130.238,1875.833,3429.677,4187.963,170.61
2004-02-09,359.295,3006.486,696.769,297.842,193.632,132.475,1894.894,3421.183,4229.201,172.167
2004-02-10,360.549,3017.181,698.252,297.846,194.712,132.415,1901.397,3438.729,4236.918,172.934
2004-02-11,362.825,3036.167,702.924,299.459,194.549,132.76,1942.076,3476.24,4239.337,173.249
2004-02-12,363.603,3041.381,710.535,299.984,199.866,135.628,1969.124,3459.416,4283.1,175.619
2004-02-13,362.525,3031.001,714.836,302.951,201.648,136.216,1951.143,3440.648,4262.397,173.498
2004-02-16,362.861,3034.07,714.282,303.488,200.656,136.136,1946.853,3440.648,4272.785,174.263
2004-02-17,366.372,3063.577,720.458,305.146,202.971,137.369,1973.764,3472.934,4323.947,175.894
2004-02-18,365.327,3054.563,719.722,305.326,202.868,137.397,1960.957,3457.563,4326.53,176.294
2004-02-19,364.185,3045.999,712.832,303.684,201.135,136.008,1914.972,3442.123,4332.694,175.991
2004-02-20,361.35,3022.056,708.364,302.753,198.963,136.639,1897.449,3433.529,4271.916,172.93
2004-02-23,361.177,3021.207,705.246,300.129,199.004,136.382,1900.576,3424.02,4272.803,172.974
2004-02-24,360.201,3013.546,700.975,297.303,198.171,135.122,1902.872,3418.876,4267.171,172.144
2004-02-25,360.233,3013.661,701.748,296.659,199.299,136.78,1910.515,3433.862,4246.47,170.762
2004-02-26,359.874,3009.978,704.231,298.053,199.83,138.469,1913.228,3439.464,4211.029,169.538
2004-02-27,360.938,3017.675,711.95,301.859,201.079,140.232,1937.32,3439.102,4210.342,170.241
2004-03-01,365.221,3052.88,723.217,304.465,204.893,143.3,2000.29,3471.01,4262.137,171.828
2004-03-02,363.337,3035.319,727.956,308.11,206.026,143.222,1984.96,3450.674,4236.683,171.35
2004-03-03,361.474,3020.819,719.269,305.408,201.158,140.156,1977.162,3457.301,4168.772,168.24
2004-03-04,363.14,3034.482,723.809,308.594,201.454,141.501,1979.622,3468.516,4208.252,170.191
2004-03-05,365.822,3057.108,728.141,307.564,206.383,144.215,1992.983,3474.803,4272.287,173.215
2004-03-08,363.64,3038.468,725.677,306.312,206.871,145.414,1973.29,3445.767,4266.587,173.098
2004-03-09,362.224,3026.368,724.124,305.205,207.16,147.029,1967.249,3425.911,4240.552,171.868
2004-03-10,356.793,2981.516,710.831,300.064,203.652,144.389,1918.141,3376.531,4171.34,169.025
2004-03-11,350.826,2931.334,700.398,297.698,199.727,142.152,1864.519,3326.895,4068.619,164.695
2004-03-12,352.302,2945.094,696.68,293.295,199.262,142.041,1899.854,3368.525,4060.401,163.905
2004-03-15,348.428,2911.861,692.993,291.357,199.883,142.357,1873.265,3320.336,3995.796,160.208
2004-03-16,351.526,2938.952,693.556,290.765,200.365,143.422,1886.014,3339.289,4053.711,162.451
2004-03-17,355.02,2967.862,701.857,295.467,201.041,146.223,1909.858,3378.033,4070.142,163.247
2004-03-18,355.607,2971.532,708.774,297.597,204.517,147.789,1922.273,3373.257,4064.993,162.774
2004-03-19,353.481,2952.155,712.092,299.401,205.101,149.1,1928.761,3335.104,4071.631,162.594
2004-03-22,348.791,2913.569,699.921,290.831,206.434,147.647,1892.523,3291.855,4005.775,159.694
2004-03-23,348.223,2909.543,695.382,289.029,204.349,148.272,1889.495,3287.584,3995.155,159.041
2004-03-24,347.365,2901.767,696.538,291.08,201.924,146.548,1882.618,3279.329,3960.234,157.513
2004-03-25,351.783,2941.424,692.444,287.7,202.908,147.323,1892.145,3333.296,3998.748,159.881
2004-03-26,352.104,2943.192,697.397,289.632,204.072,148.221,1912.33,3328.854,3982.104,159.473
2004-03-29,356.5,2979.746,706.983,294.448,207.06,150.177,1919.671,3373.05,4043.917,162.123
2004-03-30,357.703,2989.116,712.577,296.197,209.015,152.189,1941.561,3386.733,4053.568,162.167
2004-03-31,359.016,2998.83,721.098,299.937,211.223,154.091,1965.157,3384.481,4080.448,163.633
2004-04-01,362.157,3025.352,726.078,301.808,211.878,154.128,1994.462,3403.431,4154.245,166.535
2004-04-02,363.82,3039.336,728.987,302.797,212.351,156.158,2012.287,3431.933,4151.643,166.979
2004-04-05,365.149,3049.909,734.128,305.279,213.831,157.208,2019.905,3458.409,4132.607,166.307
2004-04-06,364.846,3046.396,738.104,308.701,213.295,155.277,2020.711,3450.306,4128.35,165.042
2004-04-07,364.659,3044.181,740.784,310.232,215.298,157.995,2001.954,3427.386,4160.224,166.13
2004-04-08,364.277,3040.494,742.343,311.183,215.025,160.041,2010.906,3424.353,4157.478,165.798
2004-04-09,363.689,3035.961,739.385,308.744,215.239,160.483,2010.906,3424.353,4157.478,165.798
2004-04-12,365.078,3047.081,744.435,312.157,215.625,160.661,2014.755,3441.692,4150.165,165.332
2004-04-13,361.456,3016.165,740.254,313.089,211.695,158.281,1990.2,3394.482,4127.893,164.834
2004-04-14,358.554,2992.903,729.867,309.936,207.091,152.807,1961.687,3390.573,4071.829,163.203
2004-04-15,357.877,2988.139,724.337,307.211,206.503,153.669,1939.884,3393.086,4073.808,163.014
2004-04-16,360.47,3011.274,722.646,304.98,207.707,151.626,1940.592,3409.442,4133.367,165.043
2004-04-19,360.562,3012.289,721.66,305.48,206.705,150.756,1930.359,3414.864,4142.385,164.858
2004-04-20,357.956,2989.216,722.534,307.125,207.218,150.97,1903.642,3361.317,4131.409,164.577
2004-04-21,356.953,2982.034,714.923,306.701,201.284,147.421,1882.887,3380.252,4077.946,162.687
2004-04-22,359.931,3009.491,708.846,304.729,197.534,143.453,1884.162,3428.57,4099.483,163.782
2004-04-23,360.792,3015.311,716.991,308.773,198.655,143.344,1911.887,3430.0,4104.226,164.293
2004-04-26,360.704,3015.765,711.271,304.448,199.35,144.889,1900.121,3416.389,4130.148,164.674
2004-04-27,360.767,3017.277,706.795,302.084,198.053,142.212,1897.657,3424.004,4145.629,165.267
2004-04-28,355.492,2973.559,694.574,298.422,194.931,142.273,1829.501,3376.929,4069.933,162.121
2004-04-29,353.366,2959.146,674.662,288.216,191.478,137.337,1778.482,3352.103,4071.826,161.978
2004-04-30,350.775,2939.076,662.143,281.491,188.869,136.732,1758.89,3332.517,4051.549,161.603
2004-05-03,352.778,2956.843,661.315,280.838,187.755,136.899,1775.557,3363.595,4066.405,162.491
2004-05-04,355.453,2978.15,671.548,284.649,191.555,137.684,1800.479,3369.844,4127.599,163.979
2004-05-05,356.98,2991.986,669.565,281.418,193.739,139.878,1802.164,3376.286,4162.105,165.734
2004-05-06,352.796,2957.572,658.669,278.766,190.583,139.409,1734.638,3354.115,4091.638,161.874
2004-05-07,347.3,2910.947,650.989,279.256,185.3,132.266,1685.185,3308.691,4038.359,159.265
2004-05-10,338.976,2844.434,620.16,263.943,179.974,129.924,1596.062,3272.805,3914.369,154.378
2004-05-11,341.403,2864.761,624.81,263.369,181.326,127.887,1658.776,3299.14,3940.816,155.914
2004-05-12,342.869,2875.698,633.861,269.564,182.518,130.659,1656.579,3305.038,3931.961,155.018
2004-05-13,341.82,2868.05,626.545,263.916,181.662,129.477,1669.512,3302.731,3953.901,155.977
2004-05-14,340.837,2861.911,614.897,255.804,180.48,130.256,1669.924,3299.447,3936.886,155.324
2004-05-17,337.175,2833.997,595.061,241.597,181.918,133.915,1627.467,3264.435,3926.527,155.116
2004-05-18,339.701,2853.962,605.429,248.02,181.671,134.921,1662.131,3287.365,3944.517,155.822
2004-05-19,343.711,2883.763,630.745,261.805,187.715,138.626,1686.589,3279.587,4034.943,159.788
2004-05-20,341.739,2868.109,622.933,258.574,186.082,137.851,1655.263,3281.995,3974.542,157.163
2004-05-21,344.433,2890.072,630.868,264.1,187.206,138.264,1650.275,3295.144,4000.073,157.984
2004-05-24,345.179,2895.393,636.625,266.455,188.288,139.46,1675.65,3300.991,4009.945,158.845
2004-05-25,348.507,2924.847,635.585,264.114,188.659,136.599,1700.849,3354.201,4035.436,159.681
2004-05-26,350.351,2939.829,641.235,265.058,192.064,139.428,1718.486,3360.609,4067.51,161.27
2004-05-27,354.169,2971.104,651.82,270.415,193.928,138.039,1746.545,3379.285,4146.518,164.776
2004-05-28,353.583,2965.62,653.365,272.763,192.331,133.939,1747.039,3376.846,4115.234,163.579
2004-05-31,353.734,2967.884,649.102,268.856,193.233,134.256,1747.5,3376.846,4122.726,164.207
2004-06-01,353.442,2965.179,649.72,270.276,192.791,130.526,1734.274,3378.505,4098.628,162.459
2004-06-02,354.565,2975.589,647.291,267.484,193.274,133.205,1746.864,3390.497,4134.332,164.102
2004-06-03,351.932,2955.671,632.556,258.233,192.378,133.17,1720.22,3364.228,4140.474,164.287
2004-06-04,353.844,2971.766,635.811,260.276,191.542,131.442,1741.815,3381.903,4168.728,165.993
2004-06-07,360.23,3023.813,654.541,269.191,195.235,134.292,1796.508,3435.818,4221.505,168.544
2004-06-08,360.582,3026.945,654.338,269.93,194.47,134.492,1789.395,3440.46,4217.753,168.015
2004-06-09,356.913,2996.074,648.021,267.707,193.068,134.192,1756.889,3408.14,4160.413,164.992
2004-06-10,358.1,3007.678,642.701,264.025,192.43,132.016,1759.225,3423.763,4166.823,165.581
2004-06-11,356.665,2997.509,631.529,257.375,190.282,130.453,1753.692,3422.407,4135.051,164.284
2004-06-14,353.283,2970.069,621.062,252.293,188.549,130.382,1720.215,3389.259,4101.843,163.265
2004-06-15,355.374,2987.482,625.506,254.721,187.871,127.102,1750.177,3410.957,4130.85,164.635
2004-06-16,356.706,2999.218,625.389,254.798,187.471,125.82,1752.784,3416.363,4149.151,164.71
2004-06-17,357.101,3001.417,631.198,256.43,190.856,133.598,1759.539,3411.639,4164.173,165.14
2004-06-18,358.183,3011.455,628.832,251.843,194.147,135.688,1768.219,3420.372,4200.484,167.024
2004-06-21,357.755,3006.972,632.107,253.22,195.894,138.204,1764.884,3405.643,4187.256,166.642
2004-06-22,357.154,3002.252,629.522,252.274,194.883,136.836,1758.971,3418.572,4143.01,164.981
2004-06-23,359.301,3020.227,633.633,253.992,195.142,137.083,1784.368,3448.225,4156.98,165.594
